 train         node      observed        predicted
     y           40   -0.921030        -0.922802     
     y           40   -0.895590        -0.903645     
     y           40   -0.872300        -0.886210     
     y           40   -0.851950        -0.871678     
     y           40   -0.834840        -0.867644     
     y           40   -0.820740        -0.867644     
     y           40   -0.808850        -0.867644     
     y           41   -0.797840        -0.804872     
     y           41   -0.785830        -0.795320     
     y           70   -0.215660        -0.230153     
     y           70   -0.185410        -0.183689     
     y           70   -0.149410        -0.145787     
     y           70   -0.111200        -0.113790     
     y           34   -0.729320E-001   -0.132129     
     y           34   -0.355290E-001   -0.437421E-001
     y           34    0.111280E-002    0.229911E-001
     y           34    0.379210E-001    0.646365E-001
     y           34    0.763860E-001    0.673158E-001
     y          143    0.118150         0.979964E-001
     y          143    0.164380         0.139079     
     y          143    0.214930         0.187226     
     y          143    0.267540         0.242489     
     y          143    0.317710         0.304235     
     y          143    0.359980         0.371060     
     y           18    0.390340         0.344209     
     y           18    0.408090         0.374368     
     y           18    0.415620         0.399304     
     y           18    0.416640         0.419026     
     y           18    0.414450         0.433923     
     y           18    0.411010         0.444600     
     y           19    0.407040         0.380149     
     y           19    0.402490         0.390713     
     y           19    0.397120         0.395839     
     y           19    0.390910         0.395962     
     y           19    0.384210         0.392227     
     y           19    0.377770         0.386145     
     y           19    0.372530         0.379259     
     y           19    0.369480         0.372908     
     y           19    0.369410         0.368122     
     y           19    0.372740         0.365608     
     y           19    0.379360         0.365799     
     y           19    0.388580         0.368887     
     y           19    0.399190         0.374816     
     y           19    0.409700         0.383267     
     y           19    0.418670         0.393579     
     y           19    0.424930         0.404731     
     y           19    0.427810         0.415371     
     y           19    0.427080         0.423946     
     y           19    0.422810         0.428931     
     y           19    0.415240         0.429102     
     y           19    0.404680         0.423799     
     y           19    0.391500         0.413085     
     y           19    0.376100         0.397777     
     y           19    0.359010         0.379289     
     y           19    0.340880         0.359379     
     y           19    0.322510         0.339803     
     y           19    0.304850         0.322022     
     y           19    0.288960         0.306998     
     y           19    0.275930         0.295142     
     y           19    0.266760         0.286378     
     y           19    0.262220         0.280306     
     y           19    0.262620         0.276377     
     y           19    0.267660         0.274047     
     y           19    0.276250         0.272848     
     y           19    0.286620         0.272403     
     y           19    0.296470         0.272380     
     y           19    0.303420         0.272454     
     y           19    0.305480         0.272290     
     y           19    0.301380         0.271592     
     y           19    0.290560         0.270197     
     y           18    0.273070         0.271488     
     y           18    0.249250         0.258935     
     y           18    0.219510         0.243361     
     y          143    0.184210         0.296664     
     y          142    0.143650         0.183769     
     y          142    0.981620E-001    0.122524     
     y          142    0.483370E-001    0.604417E-001
     y          142   -0.466590E-002    0.570387E-003
     y          142   -0.587060E-001   -0.542742E-001
     y          142   -0.110350        -0.101753     
     y          142   -0.155010        -0.140159     
     y          142   -0.187870        -0.168493     
     y           34   -0.205370        -0.162399     
     y           34   -0.206430        -0.196969     
     y           34   -0.192470        -0.193898     
     y           34   -0.166590        -0.160938     
     y           34   -0.132470        -0.111858     
     y           34   -0.937160E-001   -0.605894E-001
     y           34   -0.536870E-001   -0.170888E-001
     y           34   -0.155910E-001    0.141203E-001
     y           34    0.174560E-001    0.329787E-001
     y           34    0.425600E-001    0.416077E-001
     y           34    0.574060E-001    0.419331E-001
     y           34    0.606580E-001    0.343112E-001
     y           34    0.522310E-001    0.177973E-001
     y           34    0.332910E-001   -0.805700E-002
     y           34    0.610900E-002   -0.409292E-001
     y           34   -0.261210E-001   -0.744566E-001
     y           34   -0.594220E-001   -0.990182E-001
     y           34   -0.892570E-001   -0.104640     
     y           34   -0.110990        -0.851114E-001
     y           34   -0.120610        -0.419213E-001
     y          142   -0.115390        -0.129795     
     y          142   -0.941000E-001   -0.991896E-001
     y          142   -0.568180E-001   -0.612726E-001
     y          142   -0.451480E-002   -0.175655E-001
     y          143    0.608340E-001    0.131107     
     y          143    0.135290         0.169773     
     y          143    0.211440         0.208099     
     y          143    0.278220         0.244369     
     y          143    0.324290         0.276861     
     y          143    0.343820         0.303955     
     y          143    0.339070         0.324422     
     y          143    0.317500         0.337763     
     y           18    0.287460         0.242088     
     y           18    0.255690         0.236731     
     y           18    0.226900         0.230064     
     y           18    0.204340         0.223663     
     y           18    0.190340         0.219416     
     y           18    0.186570         0.219299     
     y           18    0.194000         0.224868     
     y           18    0.212590         0.236552     
     y           18    0.240800         0.253305     
     y           18    0.275190         0.273044     
     y           18    0.310520         0.293480     
     y           18    0.340930         0.312701     
     y           18    0.361740         0.329349     
     y           18    0.370990         0.342583     
     y           18    0.369520         0.351947     
     y           18    0.359790         0.357240     
     y           18    0.344500         0.358388     
     y           19    0.325780         0.294005     
     y           19    0.304970         0.290574     
     y           19    0.282830         0.285259     
     y           19    0.259850         0.279065     
     y           19    0.236470         0.273095     
     y           19    0.213350         0.268253     
     y           18    0.191340         0.252189     
     y           18    0.171540         0.225441     
     y           18    0.155180         0.199641     
     y           18    0.143500         0.177093     
     y           18    0.137500         0.159913     
     y           18    0.137700         0.149177     
     y           18    0.143930         0.144239     
     y           18    0.155110         0.143015     
     y           18    0.169160         0.143073     
     y           18    0.183170         0.142590     
     y           18    0.193690         0.140767     
     y           18    0.197330         0.137928     
     y          143    0.191300         0.193564     
     y          142    0.173610         0.815315E-001
     y           70    0.143010         0.152397     
     y           70    0.985660E-001    0.983935E-001
     y           70    0.394070E-001    0.330895E-001
     y           70   -0.350670E-001   -0.420230E-001
     y           70   -0.123700        -0.124827     
     y           70   -0.220510        -0.212733     
     y           70   -0.311850        -0.302703     
     y           16   -0.379760        -0.392652     
     y           16   -0.412950        -0.375809     
     y           16   -0.414060        -0.364153     
     y           16   -0.394980        -0.356721     
     y           16   -0.368190        -0.352339     
     y           16   -0.342390        -0.349962     
     y           16   -0.322280        -0.348814     
     y           16   -0.309860        -0.348353     
     y           16   -0.305540        -0.348149     
     y           16   -0.308880        -0.347771     
     y           16   -0.318870        -0.346812     
     y           16   -0.334040        -0.345154     
     y           16   -0.352560        -0.343418     
     y           16   -0.372290        -0.343108     
     y           16   -0.391150        -0.346174     
     y           16   -0.407450        -0.354204     
     y           16   -0.420170        -0.367731     
     y           16   -0.428950        -0.385941     
     y           16   -0.433940        -0.406812     
     y           16   -0.435500        -0.427548     
     y           14   -0.433980        -0.385993     
     y           14   -0.429650        -0.403936     
     y           14   -0.422760        -0.423129     
     y           14   -0.413570        -0.441549     
     y           14   -0.402440        -0.457528     
     y           16   -0.389910        -0.429128     
     y           16   -0.376660        -0.409094     
     y           16   -0.363500        -0.388863     
     y           16   -0.351320        -0.371025     
     y           16   -0.341040        -0.357374     
     y           16   -0.333480        -0.348587     
     y           16   -0.329220        -0.344203     
     y           16   -0.328490        -0.342947     
     y           16   -0.331030        -0.343303     
     y           16   -0.336020        -0.344074     
     y           16   -0.342140        -0.344665     
     y           16   -0.347730        -0.345003     
     y           16   -0.351100        -0.345296     
     y           16   -0.350810        -0.345844     
     y           16   -0.345790        -0.347035     
     y           16   -0.335450        -0.349434     
     y          356   -0.351580        -0.336994     
     y          356   -0.357090        -0.336994     
     y          356   -0.353310        -0.336994     
     y          356   -0.342720        -0.336994     
     y          356   -0.327850        -0.336994     
     y          356   -0.311060        -0.336994     
     y          356   -0.294200        -0.333010     
     y          356   -0.278460        -0.296275     
     y          356   -0.264290        -0.259518     
     y          356   -0.251330        -0.236151     
     y          356   -0.238510        -0.225284     
     y          356   -0.224160        -0.218536     
     y          356   -0.206240        -0.204868     
     y          366   -0.182540        -0.196767     
     y          366   -0.151000        -0.159916     
     y          366   -0.109860        -0.926369E-001
     y          366   -0.579820E-001    0.639804E-002
     y           92    0.508730E-002    0.244981E-001
     y           92    0.789740E-001    0.648991E-001
     y           93    0.162480         0.192186     
     y           93    0.253660         0.227543     
     y           94    0.349900         0.313607     
     y           94    0.448160         0.464190     
     y           94    0.545190         0.578941     
     y           94    0.637790         0.666722     
     y           94    0.723060         0.735561     
     y           94    0.798660         0.792190     
     y           94    0.863030         0.841899     
     y           94    0.915510         0.888326     
     y           94    0.956380         0.933299     
     y           94    0.986880         0.976768     
     y           94     1.00900          1.01702     
     y           94     1.02530          1.05120     
     y           95     1.03860          1.06066     
     y           27     1.05170          1.05878     
     y           27     1.06710          1.05633     
     y           27     1.08670          1.07914     
     y           27     1.11160          1.11469     
     y           27     1.14190          1.15293     
     y           27     1.17680          1.18747     
     y           27     1.21460          1.21575     
     y           27     1.25300          1.23831     
     y           26     1.28920          1.30411     
     y           26     1.32010          1.30782     
     y           26     1.34270          1.33973     
     y           26     1.35450          1.35309     
     y           26     1.35380          1.35450     
     y           95     1.33950          1.35450     
     y           95     1.31180          1.20609     
     y           95     1.27180          1.20609     
     y           95     1.22160          1.20609     
     y           95     1.16400          1.20609     
     y           95     1.10260          1.20609     
     y           93     1.04060         0.963622     
     y           93    0.981570         0.963622     
     y           93    0.928240         0.963622     
     y           92    0.882680         0.815441     
     y           92    0.846060         0.815441     
     y           92    0.818480         0.873041     
     y          367    0.799110         0.796326     
     y          367    0.786210         0.821215     
     y          366    0.777380         0.782041     
     y          365    0.769790         0.758179     
     y          365    0.760460         0.764595     
     y          365    0.746560         0.757293     
     y          365    0.725710         0.738763     
     y          365    0.696210         0.712491     
     y          365    0.657220         0.681909     
     y          365    0.608860         0.649376     
     y          364    0.552210         0.463170     
     y          364    0.489220         0.468711     
     y          364    0.422480         0.473474     
     y          364    0.355030         0.479328     
     y         1435    0.290000         0.248861     
     y         1435    0.230320         0.198790     
     y         1435    0.178480         0.167317     
     y         1435    0.136260         0.148318     
     y         1435    0.104600         0.132915     
     y         1435    0.835480E-001    0.111615     
     y         1434    0.722630E-001    0.797092E-001
     y         1434    0.691340E-001    0.608469E-001
     y           88    0.719390E-001    0.147356     
     y           88    0.780740E-001    0.107270     
     y           88    0.848010E-001    0.866180E-001
     y           88    0.895180E-001    0.722335E-001
     y           88    0.900080E-001    0.575998E-001
     y           88    0.846590E-001    0.575481E-001
     y           88    0.726310E-001    0.568031E-001
     y           88    0.539420E-001    0.499915E-001
     y           88    0.294720E-001   -0.652391E-001
     y           88    0.882590E-003   -0.486493E-001
     y           88   -0.295490E-001   -0.486493E-001
     y           88   -0.591580E-001   -0.486493E-001
     y         1434   -0.851570E-001   -0.106163     
     y         1434   -0.104920        -0.106163     
     y         1434   -0.116220        -0.106163     
     y         1434   -0.117480        -0.106163     
     y         1434   -0.107880        -0.106163     
     y          718   -0.874690E-001   -0.110776     
     y          718   -0.571160E-001   -0.549819E-001
     y          718   -0.184750E-001    0.589779E-002
     y          718    0.261950E-001    0.629064E-001
     y          718    0.742180E-001    0.109495     
     y          718    0.122740         0.142793     
     y          718    0.169010         0.163781     
     y          718    0.210580         0.176546     
     y          718    0.245590         0.187098     
     y          719    0.272900         0.289393     
     y          719    0.292220         0.276601     
     y          719    0.304120         0.272882     
     y          719    0.310000         0.282255     
     y          719    0.311880         0.306167     
     y          719    0.312250         0.343020     
     y          364    0.313750         0.361605     
