,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,cat
473,-0.26692,-0.29233,-0.28855,-0.25353,-0.18808,-0.095828,0.017123,0.14278,0.27201,0.39544,0.089518,0.090008,0.084659,0.072631,0.053942,0.029472,0.00088259,-0.029549,-0.059158,-0.085157,nde
405,1.5701,1.6172,1.6313,1.6157,1.5763,1.5206,1.4577,1.3967,1.346,1.3128,-0.057982,0.0050873,0.078974,0.16248,0.25366,0.3499,0.44816,0.54519,0.63779,0.72306,nde
307,0.47096,0.55014,0.64584,0.75013,0.85397,0.94807,1.0238,1.074,1.0938,1.0808,0.20434,0.19034,0.18657,0.194,0.21259,0.2408,0.27519,0.31052,0.34093,0.36174,wiener
291,0.27201,0.39544,0.50433,0.59139,0.65155,0.68232,0.68413,0.66018,0.61614,0.55958,-0.12061,-0.11539,-0.0941,-0.056818,-0.0045148,0.060834,0.13529,0.21144,0.27822,0.32429,wiener
231,1.6439,1.7119,1.761,1.7841,1.7766,1.7364,1.6644,1.5642,1.4419,1.3055,0.38858,0.39919,0.4097,0.41867,0.42493,0.42781,0.42708,0.42281,0.41524,0.40468,wiener
243,0.90393,0.80091,0.72354,0.67431,0.65284,0.65594,0.67797,0.71139,0.74754,0.77749,0.35901,0.34088,0.32251,0.30485,0.28896,0.27593,0.26676,0.26222,0.26262,0.26766,wiener
179,-1.6642,-1.5566,-1.4415,-1.328,-1.2247,-1.1386,-1.0747,-1.0353,-1.02,-1.0253,-1.0265,-1.0374,-1.0456,-1.0499,-1.0497,-1.0444,-1.0336,-1.0177,-0.99723,-0.97334,hammerstein
297,0.68413,0.66018,0.61614,0.55958,0.4992,0.44394,0.40211,0.38056,0.38397,0.41437,0.13529,0.21144,0.27822,0.32429,0.34382,0.33907,0.3175,0.28746,0.25569,0.2269,wiener
60,0.71139,0.74754,0.77749,0.79298,0.78718,0.75546,0.6958,0.60906,0.49887,0.37133,0.75704,0.7173,0.68165,0.6514,0.62718,0.60886,0.59561,0.58591,0.57764,0.5682,hammerstein
433,0.90393,0.80091,0.72354,0.67431,0.65284,0.65594,0.67797,0.71139,0.74754,0.77749,1.3427,1.3545,1.3538,1.3395,1.3118,1.2718,1.2216,1.164,1.1026,1.0406,nde
178,-1.7552,-1.6642,-1.5566,-1.4415,-1.328,-1.2247,-1.1386,-1.0747,-1.0353,-1.02,-1.0138,-1.0265,-1.0374,-1.0456,-1.0499,-1.0497,-1.0444,-1.0336,-1.0177,-0.99723,hammerstein
376,-1.0353,-1.02,-1.0253,-1.0455,-1.073,-1.0991,-1.1147,-1.1115,-1.0826,-1.0235,-0.35132,-0.34104,-0.33348,-0.32922,-0.32849,-0.33103,-0.33602,-0.34214,-0.34773,-0.3511,wiener
262,-0.030973,-0.14145,-0.22705,-0.28277,-0.30629,-0.29814,-0.26167,-0.20274,-0.12907,-0.04956,0.21951,0.18421,0.14365,0.098162,0.048337,-0.0046659,-0.058706,-0.11035,-0.15501,-0.18787,wiener
467,0.12417,0.072242,0.0040044,-0.072858,-0.14955,-0.21703,-0.26692,-0.29233,-0.28855,-0.25353,0.083548,0.072263,0.069134,0.071939,0.078074,0.084801,0.089518,0.090008,0.084659,0.072631,nde
