,u_0,y_0,y_1
382,-1.3388,0.72891,0.21983
383,-1.3388,0.21983,-0.24047
384,3.5168,-0.24047,0.72356
385,3.5168,0.72356,1.0322
386,3.5168,1.0322,1.1486
387,1.7056,1.1486,1.1208
388,1.7056,1.1208,1.0992
389,1.7056,1.0992,1.0829
390,0.32661,1.0829,0.95623
391,0.32661,0.95623,0.82837
392,0.32661,0.82837,0.71078
393,4.7308,0.71078,1.1115
394,4.7308,1.1115,1.2316
395,4.7308,1.2316,1.285
396,4.0798,1.285,1.3003
397,4.0798,1.3003,1.3101
398,4.0798,1.3101,1.3165
399,0.78175,1.3165,1.2417
400,0.78175,1.2417,1.1581
401,0.78175,1.1581,1.0715
402,-1.0241,1.0715,0.77334
403,-1.0241,0.77334,0.35973
404,-1.0241,0.35973,-0.043927
405,-2.746,-0.043927,-0.70713
406,-2.746,-0.70713,-0.95789
407,-2.746,-0.95789,-1.0682
408,0.72318,-1.0682,-0.81285
409,0.72318,-0.81285,-0.48154
410,0.72318,-0.48154,-0.14776
411,-2.9824,-0.14776,-0.78485
412,-2.9824,-0.78485,-1.0105
413,-2.9824,-1.0105,-1.1092
414,-2.644,-1.1092,-1.1443
415,-2.644,-1.1443,-1.1659
416,-2.644,-1.1659,-1.1799
417,-1.658,-1.1799,-1.1435
418,-1.658,-1.1435,-1.114
419,-1.658,-1.114,-1.091
420,-1.9971,-1.091,-1.0958
421,-1.9971,-1.0958,-1.099
422,-1.9971,-1.099,-1.1013
423,0.85889,-1.1013,-0.84291
424,0.85889,-0.84291,-0.48568
425,0.85889,-0.48568,-0.11137
426,0.84156,-0.11137,0.17245
427,0.84156,0.17245,0.35824
428,0.84156,0.35824,0.47522
429,-2.014,0.47522,-0.23935
430,-2.014,-0.23935,-0.65933
431,-2.014,-0.65933,-0.85364
432,2.126,-0.85364,-0.16345
433,2.126,-0.16345,0.48136
434,2.126,0.48136,0.78711
435,-0.37831,0.78711,0.53222
436,-0.37831,0.53222,0.2903
437,-0.37831,0.2903,0.095335
438,-1.1168,0.095335,-0.26194
439,-1.1168,-0.26194,-0.48165
440,-1.1168,-0.48165,-0.61135
441,-2.0727,-0.61135,-0.83859
442,-2.0727,-0.83859,-0.95073
443,-2.0727,-0.95073,-1.0128
444,1.2111,-1.0128,-0.64872
445,1.2111,-0.64872,-0.16586
446,1.2111,-0.16586,0.24136
447,-0.34914,0.24136,0.067465
448,-0.34914,0.067465,-0.05738
449,-0.34914,-0.05738,-0.14395
450,3.0894,-0.14395,0.69002
451,3.0894,0.69002,0.9842
452,3.0894,0.9842,1.1031
453,1.9057,1.1031,1.0986
454,1.9057,1.0986,1.0953
455,1.9057,1.0953,1.093
456,-2.6271,1.093,0.5133
457,-2.6271,0.5133,-0.37493
