 train         node      observed        predicted
     y           41   -0.209640E-001   -0.444538E-001
     y           41    0.158960         0.137402     
     y           41    0.279670         0.267257     
     y           41   -0.939520E-001   -0.551396E-001
     y           41   -0.346640        -0.324790     
     y           41   -0.501410        -0.507159     
     y           41   -0.410480        -0.406590     
     y           41   -0.342150        -0.340964     
     y           41   -0.292210        -0.291649     
     y            8   -0.659350        -0.679789     
     y            8   -0.836160        -0.844317     
     y            8   -0.929480        -0.923552     
     y           22   -0.323220        -0.364487     
     y           46    0.352750         0.328944     
     y           46    0.710460         0.727278     
     y           47    0.885590         0.869324     
     y           47    0.975880         0.979151     
     y           47     1.02750          1.03577     
     y           21    0.909780         0.918421     
     y           21    0.798620         0.794339     
     y           41    0.701890         0.686918     
     y           41    0.274200         0.236242     
     y           41   -0.113190        -0.724295E-001
     y           41   -0.371990        -0.352016     
     y           41   -0.195550        -0.202987     
     y           41   -0.635450E-001   -0.756465E-001
     y           41    0.304750E-001    0.196240E-001
     y           41   -0.338170        -0.302697     
     y           41   -0.554410        -0.568755     
     y           41   -0.678660        -0.724820     
     y           41   -0.459290        -0.428742     
     y           41   -0.269530        -0.270418     
     y           41   -0.122810        -0.133465     
     y           41   -0.189240        -0.180033     
     y           41   -0.234780        -0.227977     
     y           41   -0.266100        -0.260844     
     y            3    0.802780         0.693147     
     y            3     1.09710          1.10404     
     y            3     1.20260          1.21718     
     y           47     1.16720          1.14218     
     y           47     1.13840          1.11998     
     y           47     1.11580          1.10192     
     y           21    0.842880         0.805295     
     y           21    0.444910         0.517625     
     y           41    0.250490E-001    0.524210E-001
     y            8   -0.905240        -0.801125     
     y            8    -1.14120         -1.21802     
     y            8    -1.23000         -1.23000     
     y           22   -0.857340        -0.706904     
     y           22    0.956550E-002   -0.673307E-001
     y           46    0.689800         0.686826     
     y           47    0.946740         0.928750     
     y           47     1.05980          1.08988     
     y           47     1.11880          1.16078     
     y           21    0.979040         0.976442     
     y           21    0.827320         0.829129     
     y           21    0.679210         0.669210     
     y           41    0.680020         0.702440     
     y           41    0.680590         0.703025     
     y           41    0.680980         0.703436     
     y            9   -0.319040        -0.264635     
     y            8   -0.845810        -0.812556     
     y            8    -1.03590         -1.04862     
     y           40   -0.958780        -0.993254     
     y           40   -0.892360        -0.904310     
     y           40   -0.838250        -0.827707     
     y           40   -0.624570        -0.618281     
     y           41   -0.420540        -0.400661     
     y           41   -0.250330        -0.253409     
     y           46    0.172010         0.184419     
     y           46    0.442900         0.433295     
     y           46    0.600410         0.592925     
     y           41    0.121270         0.122195     
     y           41   -0.265710        -0.223610     
     y           41   -0.501270        -0.502900     
     y            8   -0.950050        -0.936787     
     y            8    -1.10590         -1.13790     
     y            8    -1.17760         -1.20774     
     y           22   -0.823610        -0.786004     
     y           22   -0.146600        -0.178473     
     y           46    0.467360         0.437050     
     y            9   -0.233050        -0.255487     
     y            8   -0.647810        -0.662750     
     y            8   -0.842090        -0.848619     
     y           40   -0.636050        -0.628359     
     y           41   -0.440250        -0.419007     
     y           41   -0.276670        -0.277694     
     y            8   -0.590080        -0.638904     
     y            8   -0.754310        -0.779353     
     y            8   -0.845770        -0.852951     
     y           22   -0.237160        -0.264441     
     y           46    0.362410         0.338948     
     y           46    0.683080         0.692262     
     y           41    0.138820         0.118741     
     y           41   -0.320660        -0.274062     
     y           41   -0.585050        -0.605677     
     y            3    0.449060         0.492152     
     y            3    0.908690         0.889679     
     y            3     1.07380          1.06637     
     y           21    0.969460         0.986272     
     y           21    0.870800         0.876293     
     y           21    0.784440         0.772302     
     y           47    0.809070         0.812294     
     y           47    0.825590         0.827740     
     y           47    0.836810         0.838100     
     y           21    0.599920         0.613872     
     y           41    0.369150         0.353067     
     y           41    0.177020         0.186516     
     y            8   -0.543820        -0.529459     
     y            8   -0.856380        -0.852492     
     y            8   -0.993990        -0.992561     
     y           40   -0.960180        -0.998546     
     y           40   -0.934380        -0.959553     
     y           40   -0.915180        -0.929797     
     y           40   -0.856610        -0.854108     
     y           40   -0.810270        -0.786558     
     y           40   -0.774880        -0.733113     
     y            3    0.198730         0.402763     
     y            3    0.799100         0.777032     
     y            3     1.01400          1.00782     
     y            9    0.715470E-001    0.677769E-001
     y            8   -0.786670        -0.693770     
     y            8    -1.05280         -1.07837     
     y           22   -0.709540        -0.763587     
     y           22   -0.227680        -0.174471     
     y           46    0.204330         0.210301     
     y           41    0.751510E-001    0.868639E-001
     y           41   -0.170570E-001   -0.636706E-002
     y           41   -0.815240E-001   -0.729153E-001
     y            8   -0.635440        -0.627354     
     y            8   -0.874630        -0.875583     
     y            8   -0.988240        -0.982772     
     y           40   -0.810350        -0.813787     
     y           40   -0.627000        -0.608623     
     y           41   -0.460330        -0.442521     
     y           46    0.197970         0.206921     
     y           46    0.602700         0.594843     
     y           47    0.799870         0.773698     
     y           47    0.819650         0.822188     
     y           47    0.833020         0.834592     
     y           47    0.842150         0.842976     
     y           21    0.689060         0.681696     
     y           41    0.552140         0.531785     
     y           41    0.439900         0.432968     
     y           41    0.249950         0.253049     
     y           41    0.104160         0.115959     
     y           41   -0.985980E-003    0.107393E-001
     y            8   -0.468590        -0.527900     
     y            8   -0.710180        -0.737449     
     y            8   -0.836320        -0.845714     
     y           22   -0.323790        -0.335656     
     y           46    0.201870         0.206301     
     y           46    0.527710         0.516061     
     y            9   -0.371380        -0.386854     
     y            8   -0.819230        -0.799719     
     y            8   -0.996790         -1.00042     
     y           22   -0.636370        -0.688197     
     y           22   -0.171910        -0.696308E-001
     y           46    0.218540         0.223812     
     y           41    0.231130         0.227437     
     y           41    0.239910         0.236524     
     y           41    0.246030         0.242860     
     y            3     1.03280         0.966500     
     y            3     1.21280          1.26895     
     y            3     1.28240          1.31650     
     y           21     1.15340          1.07753     
     y           21    0.974700         0.941561     
     y           21    0.747630         0.753203     
     y           47    0.870990         0.861158     
     y           47    0.940290         0.938519     
     y           47    0.982090         0.981978     
     y           21    0.603850         0.640735     
     y           41    0.123630         0.123685     
     y           41   -0.265220        -0.222899     
     y           46    0.834630E-001    0.116444     
     y           46    0.320870         0.321916     
     y           46    0.468780         0.461815     
     y           46    0.649710         0.647579     
     y           47    0.752920         0.748913     
     y           47    0.815080         0.813637     
     y           21    0.605170         0.610308     
     y           41    0.408750         0.392426     
     y           41    0.246970         0.250666     
     y           41    0.372080         0.364552     
     y           41    0.453150         0.454847     
     y           41    0.506390         0.513356     
     y           46    0.778570         0.814462     
     y           47    0.910870         0.903225     
     y           47    0.982870         0.986193     
     y           47     1.03520          1.04537     
     y           47     1.06710          1.07819     
     y           47     1.08740          1.09819     
     y           21    0.965850         0.974877     
     y           21    0.844170         0.846758     
     y           21    0.732920         0.718502     
     y           47    0.927400         0.914726     
     y           47     1.02240          1.03669     
     y           47     1.07510          1.09626     
     y           21    0.728910         0.718387     
     y           41    0.219830         0.176453     
     y           41   -0.240470        -0.190959     
     y            3    0.723560         0.655192     
     y            3     1.03220          1.02578     
     y            3     1.14860          1.14442     
     y           47     1.12080          1.10233     
     y           47     1.09920          1.08489     
     y           47     1.08290          1.07135     
     y           21    0.956230         0.963187     
     y           21    0.828370         0.829672     
     y           21    0.710780         0.694902     
     y            3     1.11150          1.12260     
     y            3     1.23160          1.27664     
     y            3     1.28500          1.31650     
     y            3     1.30030          1.28878     
     y            3     1.31010          1.29466     
     y            3     1.31650          1.29843     
     y           21     1.24170          1.27407     
     y           21     1.15810          1.19522     
     y           21     1.07150          1.10711     
     y           21    0.773340         0.759297     
     y           41    0.359730         0.290735     
     y           41   -0.439270E-001   -0.777490E-002
     y            8   -0.707130        -0.662536     
     y            8   -0.957890        -0.959740     
     y            8    -1.06820         -1.07211     
     y           40   -0.812850        -0.805451     
     y           40   -0.481540        -0.510951     
     y           41   -0.147760        -0.158455     
     y            8   -0.784850        -0.734777     
     y            8    -1.01050         -1.02028     
     y            8    -1.10920         -1.12140     
     y            8    -1.14430         -1.12883     
     y            8    -1.16590         -1.14456     
     y            8    -1.17990         -1.15424     
     y            8    -1.14350         -1.05328     
     y            8    -1.11400         -1.03696     
     y            8    -1.09100         -1.02374     
     y            8    -1.09580         -1.05032     
     y            8    -1.09900         -1.05247     
     y            8    -1.10130         -1.05390     
     y           40   -0.842910        -0.823719     
     y           40   -0.485680        -0.525712     
     y           41   -0.111370        -0.125989     
     y           41    0.172450         0.139630     
     y           41    0.358240         0.344469     
     y           41    0.475220         0.478557     
     y            9   -0.239350        -0.258286     
     y            8   -0.659330        -0.670500     
     y            8   -0.853640        -0.858708     
     y           22   -0.163450        -0.206067     
     y           46    0.481360         0.449467     
     y           46    0.787110         0.829440     
     y           41    0.532220         0.469387     
     y           41    0.290300         0.285428     
     y           41    0.953350E-001    0.110830     
     y           41   -0.261940        -0.222812     
     y           41   -0.481650        -0.480664     
     y           41   -0.611350        -0.639233     
     y            8   -0.838590        -0.843591     
     y            8   -0.950730        -0.945425     
     y            8    -1.01280        -0.995678     
     y           22   -0.648720        -0.699832     
     y           22   -0.165860        -0.749842E-001
     y           46    0.241360         0.242162     
     y           41    0.674650E-001    0.831298E-001
     y           41   -0.573800E-001   -0.423735E-001
     y           41   -0.143950        -0.132477     
     y            3    0.690020         0.656480     
     y            3    0.984200         0.977070     
     y            3     1.10310          1.09016     
     y           47     1.09860          1.09666     
     y           47     1.09530          1.09384     
     y           47     1.09300          1.09177     
     y            9    0.513300         0.469774     
     y            9   -0.374930        -0.398465     
     y            8   -0.816220        -0.797938     
     y            8   -0.931750        -0.927939     
     y            8   -0.995850        -0.979712     
     y            8    -1.03430         -1.00844     
     y            8    -1.12080         -1.13158     
     y            8    -1.16730         -1.17034     
     y            8    -1.19480         -1.19118     
     y           22   -0.882920        -0.857021     
     y           22   -0.287260        -0.321761     
     y           46    0.336310         0.315434     
     y           46    0.490050         0.482131     
     y           46    0.584880         0.572727     
     y           46    0.644940         0.628608     
     y            9   -0.902280E-001   -0.178573E-001
     y            8   -0.597440        -0.608329     
     y            8   -0.829950        -0.835628     
     y           22   -0.330630        -0.338781     
     y           46    0.179870         0.189151     
     y           46    0.502370         0.489977     
     y           46    0.660000         0.657089     
     y           47    0.751720         0.750142     
     y           47    0.807840         0.807661     
     y           41    0.776340         0.800811     
     y           41    0.753070         0.778076     
     y           41    0.736140         0.761282     
     y           41    0.538670         0.499552     
     y           41    0.364650         0.357034     
     y           41    0.226630         0.231441     
     y           41   -0.859540E-001   -0.518910E-001
     y           41   -0.298690        -0.277489     
     y           41   -0.433700        -0.431024     
     y           46    0.347000         0.326220     
     y           46    0.753930         0.786270     
     y           47    0.930790         0.921158     
     y           21    0.646430         0.668593     
     y           41    0.330110         0.305093     
     y           41    0.542380E-001    0.767985E-001
     y            3    0.877330         0.799219     
     y            3     1.10860          1.11563     
     y            3     1.19970          1.20453     
