,value__sum_values,value__median,value__mean,value__maximum,value__minimum,y,cat
356,-1.1443,-1.1443,-1.1443,-1.1443,-1.1443,0.14631,0.018195
357,-1.3336,-1.3336,-1.3336,-1.3336,-1.3336,0.018195,-0.11646
358,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-0.11646,-0.2122
359,-0.97148,-0.97148,-0.97148,-0.97148,-0.97148,-0.2122,-0.28322
360,-0.52133,-0.52133,-0.52133,-0.52133,-0.52133,-0.28322,-0.30432
361,-0.33831,-0.33831,-0.33831,-0.33831,-0.33831,-0.30432,-0.30653
362,-0.011036,-0.011036,-0.011036,-0.011036,-0.011036,-0.30653,-0.27852
363,-0.0808,-0.0808,-0.0808,-0.0808,-0.0808,-0.27852,-0.25946
364,-0.0511,-0.0511,-0.0511,-0.0511,-0.0511,-0.25946,-0.23933
365,-0.37017,-0.37017,-0.37017,-0.37017,-0.37017,-0.23933,-0.2512
366,-0.47385,-0.47385,-0.47385,-0.47385,-0.47385,-0.2512,-0.27147
367,-0.79108,-0.79108,-0.79108,-0.79108,-0.79108,-0.27147,-0.3184
368,-0.79088,-0.79088,-0.79088,-0.79088,-0.79088,-0.3184,-0.35942
369,-0.97178,-0.97178,-0.97178,-0.97178,-0.97178,-0.35942,-0.4106
370,-0.87905,-0.87905,-0.87905,-0.87905,-0.87905,-0.4106,-0.44729
371,-1.0624,-1.0624,-1.0624,-1.0624,-1.0624,-0.44729,-0.49358
372,-1.0721,-1.0721,-1.0721,-1.0721,-1.0721,-0.49358,-0.53407
373,-1.4134,-1.4134,-1.4134,-1.4134,-1.4134,-0.53407,-0.59279
374,-1.5605,-1.5605,-1.5605,-1.5605,-1.5605,-0.59279,-0.65132
375,-1.941,-1.941,-1.941,-1.941,-1.941,-0.65132,-0.72174
376,-1.9817,-1.9817,-1.9817,-1.9817,-1.9817,-0.72174,-0.78053
377,-2.1141,-2.1141,-2.1141,-2.1141,-2.1141,-0.78053,-0.8342
378,-1.822,-1.822,-1.822,-1.822,-1.822,-0.8342,-0.86553
379,-1.6289,-1.6289,-1.6289,-1.6289,-1.6289,-0.86553,-0.8842
380,-1.1129,-1.1129,-1.1129,-1.1129,-1.1129,-0.8842,-0.87987
381,-0.86143,-0.86143,-0.86143,-0.86143,-0.86143,-0.87987,-0.86549
382,-0.46338,-0.46338,-0.46338,-0.46338,-0.46338,-0.86549,-0.83453
383,-0.46028,-0.46028,-0.46028,-0.46028,-0.46028,-0.83453,-0.80458
384,-0.35588,-0.35588,-0.35588,-0.35588,-0.35588,-0.80458,-0.77058
385,-0.59867,-0.59867,-0.59867,-0.59867,-0.59867,-0.77058,-0.75106
386,-0.62475,-0.62475,-0.62475,-0.62475,-0.62475,-0.75106,-0.7343
387,-0.86337,-0.86337,-0.86337,-0.86337,-0.86337,-0.7343,-0.73213
388,-0.78379,-0.78379,-0.78379,-0.78379,-0.78379,-0.73213,-0.72573
389,-0.88484,-0.88484,-0.88484,-0.88484,-0.88484,-0.72573,-0.7256
390,-0.71207,-0.71207,-0.71207,-0.71207,-0.71207,-0.7256,-0.71572
391,-0.81552,-0.81552,-0.81552,-0.81552,-0.81552,-0.71572,-0.71264
392,-0.74557,-0.74557,-0.74557,-0.74557,-0.74557,-0.71264,-0.70581
393,-1.008,-1.008,-1.008,-1.008,-1.008,-0.70581,-0.71476
394,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-0.71476,-0.72658
395,-1.381,-1.381,-1.381,-1.381,-1.381,-0.72658,-0.75342
396,-1.3464,-1.3464,-1.3464,-1.3464,-1.3464,-0.75342,-0.77471
397,-1.4055,-1.4055,-1.4055,-1.4055,-1.4055,-0.77471,-0.79604
